Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2016,AG_PRD_FIESMS,,,PT,A,0,2022,,56.5
2020,AG_PRD_FIESMS,,,PT,A,0,2022,,60.3
2021,AG_PRD_FIESMS,,,PT,A,0,2022,,57.5
2022,AG_PRD_FIESMS,,,PT,A,0,2022,,62.4
2016,AG_PRD_FIESMS,,R,PT,A,0,2022,,58.5
2020,AG_PRD_FIESMS,,R,PT,A,0,2022,,60.0
2021,AG_PRD_FIESMS,,R,PT,A,0,2022,,61.7
2022,AG_PRD_FIESMS,,R,PT,A,0,2022,,63.4
2016,AG_PRD_FIESMS,,U,PT,A,0,2022,,44.2
2020,AG_PRD_FIESMS,,U,PT,A,0,2022,,60.5
2021,AG_PRD_FIESMS,,U,PT,A,0,2022,,48.5
2022,AG_PRD_FIESMS,,U,PT,A,0,2022,,52.2
2016,AG_PRD_FIESS,,,PT,A,0,2022,,19.1
2020,AG_PRD_FIESS,,,PT,A,0,2022,,17.0
2021,AG_PRD_FIESS,,,PT,A,0,2022,,19.7
2022,AG_PRD_FIESS,,,PT,A,0,2022,,30.5
2016,AG_PRD_FIESS,,R,PT,A,0,2022,,21.5
2020,AG_PRD_FIESS,,R,PT,A,0,2022,,18.0
2021,AG_PRD_FIESS,,R,PT,A,0,2022,,21.3
2022,AG_PRD_FIESS,,R,PT,A,0,2022,,33.9
2016,AG_PRD_FIESS,,U,PT,A,0,2022,,13.0
2020,AG_PRD_FIESS,,U,PT,A,0,2022,,15.9
2021,AG_PRD_FIESS,,U,PT,A,0,2022,,16.2
2022,AG_PRD_FIESS,,U,PT,A,0,2022,,22.0
