Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,Percent,Normal value,Units,2022,,74.9
2015,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,Percent,Normal value,Units,2022,,79.5
2016,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,Percent,Normal value,Units,2022,,78.3
2017,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,Percent,Normal value,Units,2022,,68.4
2018,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,Percent,Normal value,Units,2022,,81.6
2022,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,Percent,Normal value,Units,2022,,89.2
2022,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,Percent,Normal value,Units,2022,,66.8
2022,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],,Percent,Normal value,Units,2022,,91.2
2014,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,Percent,Normal value,Units,2022,,79.4
2022,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,Percent,Normal value,Units,2022,,80.1
