Year,SERIES,URBANISATION,Value
2014,_L_KE_070101_01,,36.0
2016,_L_KE_070101_01,,41.5
2018,_L_KE_070101_01,,46.0
2019,_L_KE_070101_01,,50.4
2014,_L_KE_070101_01,R,12.6
2016,_L_KE_070101_01,R,17.4
2014,_L_KE_070101_01,U,68.4
2016,_L_KE_070101_01,U,73.4
2014,EG_ACS_ELEC,,35.3
2016,EG_ACS_ELEC,,33.8
2019,EG_ACS_ELEC,,49.7
2022,EG_ACS_ELEC,,49.6
2014,EG_ACS_ELEC,R,11.5
2014,EG_ACS_ELEC,U,69.7
2019,_L_KE_070101_02,,69.8
2022,_L_KE_070101_03,,49.6
2022,_L_KE_070101_03,R,29.9
2022,_L_KE_070101_03,U,88.6
