Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2014,SH_STA_MALR,,PER_100000_POP,A,0,2023,"Division of National Malaria Programme (DNMP), MoH",,225.0
2015,SH_STA_MALR,,PER_100000_POP,A,0,2023,"Division of National Malaria Programme (DNMP), MoH",,120.0
2016,SH_STA_MALR,,PER_100000_POP,A,0,2023,"Division of National Malaria Programme (DNMP), MoH",,111.0
2017,SH_STA_MALR,,PER_100000_POP,A,0,2023,"Division of National Malaria Programme (DNMP), MoH",,87.0
2018,SH_STA_MALR,,PER_100000_POP,A,0,2023,"Division of National Malaria Programme (DNMP), MoH",,89.2
2019,SH_STA_MALR,,PER_100000_POP,A,0,2023,"Division of National Malaria Programme (DNMP), MoH",,102.9
2020,SH_STA_MALR,,PER_100000_POP,A,0,2023,"Division of National Malaria Programme (DNMP), MoH",,87.3
2021,SH_STA_MALR,,PER_100000_POP,A,0,2023,"Division of National Malaria Programme (DNMP), MoH",,91.3
2022,SH_STA_MALR,,PER_100000_POP,A,0,2023,"Division of National Malaria Programme (DNMP), MoH",,92.9
2023,SH_STA_MALR,,PER_100000_POP,A,0,2023,"Division of National Malaria Programme (DNMP), MoH",,104.4
