Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2014,Proportion of population using basic hygiene services,,Percent,Normal value,Units,,16.6
2022,Proportion of population using basic hygiene services,,Percent,Normal value,Units,,51.3
2024,Proportion of population using basic hygiene services,,Percent,Normal value,Units,,24.2
2014,Proportion of population using clean fuels and technologies,,Percent,Normal value,Units,,11.9
2016,Proportion of population using clean fuels and technologies,,Percent,Normal value,Units,,14.6
2018,Proportion of population using clean fuels and technologies,,Percent,Normal value,Units,,19.8
2019,Proportion of population using clean fuels and technologies,,Percent,Normal value,Units,,25.4
2020,Proportion of population using clean fuels and technologies,,Percent,Normal value,Units,,23.1
2021,Proportion of population using clean fuels and technologies,,Percent,Normal value,Units,,27.2
2022,Proportion of population using clean fuels and technologies,,Percent,Normal value,Units,,21.2
2024,Proportion of population using clean fuels and technologies,,Percent,Normal value,Units,,34.4
2014,Proportion of population using basic drinking water services [1.4.1],,Percent,Normal value,Units,,60.3
2022,Proportion of population using basic drinking water services [1.4.1],,Percent,Normal value,Units,,67.9
2024,Proportion of population using basic drinking water services [1.4.1],,Percent,Normal value,Units,,76.6
2014,Proportion of population using basic sanitation services [1.4.1],,Percent,Normal value,Units,,24.7
2022,Proportion of population using basic sanitation services [1.4.1],,Percent,Normal value,Units,,40.9
2024,Proportion of population using basic sanitation services [1.4.1],,Percent,Normal value,Units,,71.0
