Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2016,SI_POV_DAY1,,,PT,A,0,2022,,29.3
2020,SI_POV_DAY1,,,PT,A,0,2022,,35.2
2021,SI_POV_DAY1,,,PT,A,0,2022,,35.3
2022,SI_POV_DAY1,,,PT,A,0,2022,,35.0
2016,SI_POV_DAY1,,R,PT,A,0,2022,,37.2
2020,SI_POV_DAY1,,R,PT,A,0,2022,,45.3
2021,SI_POV_DAY1,,R,PT,A,0,2022,,45.5
2022,SI_POV_DAY1,,R,PT,A,0,2022,,46.0
2016,SI_POV_DAY1,,U,PT,A,0,2022,,9.6
2020,SI_POV_DAY1,,U,PT,A,0,2022,,13.6
2021,SI_POV_DAY1,,U,PT,A,0,2022,,13.6
2022,SI_POV_DAY1,,U,PT,A,0,2022,,11.6
