Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,_L_KE_010401_01,,PT,A,0,2022,,16.6
2022,_L_KE_010401_01,,PT,A,0,2022,,51.3
2014,_L_KE_010401_03,,PT,A,0,2022,,11.9
2016,_L_KE_010401_03,,PT,A,0,2022,,14.6
2018,_L_KE_010401_03,,PT,A,0,2022,,19.8
2019,_L_KE_010401_03,,PT,A,0,2022,,25.4
2020,_L_KE_010401_03,,PT,A,0,2022,,23.1
2021,_L_KE_010401_03,,PT,A,0,2022,,27.2
2022,_L_KE_010401_03,,PT,A,0,2022,,21.2
2014,SP_ACS_BSRVH2O,,PT,A,0,2022,,60.3
2022,SP_ACS_BSRVH2O,,PT,A,0,2022,,67.9
2014,SP_ACS_BSRVSAN,,PT,A,0,2022,,24.7
2022,SP_ACS_BSRVSAN,,PT,A,0,2022,,40.9
