Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2019,IT_NET_BBND,,IS_100MT1G,NUMBER,A,0,2023,Economic Survey,,0.007
2020,IT_NET_BBND,,IS_100MT1G,NUMBER,A,0,2023,Economic Survey,,0.008
2021,IT_NET_BBND,,IS_100MT1G,NUMBER,A,0,2023,Economic Survey,,0.01
2022,IT_NET_BBND,,IS_100MT1G,NUMBER,A,0,2023,Economic Survey,,0.0089
2023,IT_NET_BBND,,IS_100MT1G,NUMBER,A,0,2023,Economic Survey,,0.019
2019,IT_NET_BBND,,IS_10MT30M,NUMBER,A,0,2023,Economic Survey,,0.264
2020,IT_NET_BBND,,IS_10MT30M,NUMBER,A,0,2023,Economic Survey,,0.324
2021,IT_NET_BBND,,IS_10MT30M,NUMBER,A,0,2023,Economic Survey,,0.5119
2022,IT_NET_BBND,,IS_10MT30M,NUMBER,A,0,2023,Economic Survey,,0.559
2023,IT_NET_BBND,,IS_10MT30M,NUMBER,A,0,2023,Economic Survey,,0.812
2014,IT_NET_BBND,,IS_1MT2M,NUMBER,A,0,2018,Economic Survey,,0.378
2015,IT_NET_BBND,,IS_1MT2M,NUMBER,A,0,2018,Economic Survey,,0.075
2016,IT_NET_BBND,,IS_1MT2M,NUMBER,A,0,2018,Economic Survey,,0.085
2017,IT_NET_BBND,,IS_1MT2M,NUMBER,A,0,2018,Economic Survey,,0.043
2018,IT_NET_BBND,,IS_1MT2M,NUMBER,A,0,2018,Economic Survey,,0.019
2014,IT_NET_BBND,,IS_256K,NUMBER,A,0,2023,Economic Survey,,0.014
2015,IT_NET_BBND,,IS_256K,NUMBER,A,0,2023,Economic Survey,,0.01
2016,IT_NET_BBND,,IS_256K,NUMBER,A,0,2023,Economic Survey,,0.003
2017,IT_NET_BBND,,IS_256K,NUMBER,A,0,2023,Economic Survey,,0.003
2018,IT_NET_BBND,,IS_256K,NUMBER,A,0,2023,Economic Survey,,0.001
2019,IT_NET_BBND,,IS_256K,NUMBER,A,0,2023,Economic Survey,,0.025
2020,IT_NET_BBND,,IS_256K,NUMBER,A,0,2023,Economic Survey,,0.023
2021,IT_NET_BBND,,IS_256K,NUMBER,A,0,2023,Economic Survey,,0.02
2022,IT_NET_BBND,,IS_256K,NUMBER,A,0,2023,Economic Survey,,0.017
2023,IT_NET_BBND,,IS_256K,NUMBER,A,0,2023,Economic Survey,,0.019
2014,IT_NET_BBND,,IS_2M,NUMBER,A,0,2018,Economic Survey,,0.023
2015,IT_NET_BBND,,IS_2M,NUMBER,A,0,2018,Economic Survey,,0.017
2016,IT_NET_BBND,,IS_2M,NUMBER,A,0,2018,Economic Survey,,0.126
2017,IT_NET_BBND,,IS_2M,NUMBER,A,0,2018,Economic Survey,,0.289
2018,IT_NET_BBND,,IS_2M,NUMBER,A,0,2018,Economic Survey,,0.192
2019,IT_NET_BBND,,IS_2MT10M,NUMBER,A,0,2023,Economic Survey,,0.702
2020,IT_NET_BBND,,IS_2MT10M,NUMBER,A,0,2023,Economic Survey,,0.879
2021,IT_NET_BBND,,IS_2MT10M,NUMBER,A,0,2023,Economic Survey,,0.858
2022,IT_NET_BBND,,IS_2MT10M,NUMBER,A,0,2023,Economic Survey,,0.975
2023,IT_NET_BBND,,IS_2MT10M,NUMBER,A,0,2023,Economic Survey,,1.196
2019,IT_NET_BBND,,IS_30MT100M,NUMBER,A,0,2023,Economic Survey,,0.238
2020,IT_NET_BBND,,IS_30MT100M,NUMBER,A,0,2023,Economic Survey,,0.274
2021,IT_NET_BBND,,IS_30MT100M,NUMBER,A,0,2023,Economic Survey,,0.2947
2022,IT_NET_BBND,,IS_30MT100M,NUMBER,A,0,2023,Economic Survey,,0.0714
2023,IT_NET_BBND,,IS_30MT100M,NUMBER,A,0,2023,Economic Survey,,0.474
2014,IT_NET_BBND,,IS_512K,NUMBER,A,0,2018,Economic Survey,,0.064
2015,IT_NET_BBND,,IS_512K,NUMBER,A,0,2018,Economic Survey,,0.015
2016,IT_NET_BBND,,IS_512K,NUMBER,A,0,2018,Economic Survey,,0.018
2017,IT_NET_BBND,,IS_512K,NUMBER,A,0,2018,Economic Survey,,0.009
2018,IT_NET_BBND,,IS_512K,NUMBER,A,0,2018,Economic Survey,,0.001
2022,IT_NET_BBND,,IS_GE1G,NUMBER,A,0,2023,Economic Survey,,0.0
2023,IT_NET_BBND,,IS_GE1G,NUMBER,A,0,2023,Economic Survey,,0.001
2014,IT_NET_BBND,,IS_GE2M,NUMBER,A,0,2018,Economic Survey,,0.058
2015,IT_NET_BBND,,IS_GE2M,NUMBER,A,0,2018,Economic Survey,,0.288
2016,IT_NET_BBND,,IS_GE2M,NUMBER,A,0,2018,Economic Survey,,0.341
2017,IT_NET_BBND,,IS_GE2M,NUMBER,A,0,2018,Economic Survey,,0.521
2018,IT_NET_BBND,,IS_GE2M,NUMBER,A,0,2018,Economic Survey,,0.599
