Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2019,A,0,Economic Survey,IT_NET_BBND,,IS_100MT1G,NUMBER,2023,,0.007
2020,A,0,Economic Survey,IT_NET_BBND,,IS_100MT1G,NUMBER,2023,,0.008
2021,A,0,Economic Survey,IT_NET_BBND,,IS_100MT1G,NUMBER,2023,,0.01
2022,A,0,Economic Survey,IT_NET_BBND,,IS_100MT1G,NUMBER,2023,,0.0089
2023,A,0,Economic Survey,IT_NET_BBND,,IS_100MT1G,NUMBER,2023,,0.019
2019,A,0,Economic Survey,IT_NET_BBND,,IS_10MT30M,NUMBER,2023,,0.264
2020,A,0,Economic Survey,IT_NET_BBND,,IS_10MT30M,NUMBER,2023,,0.324
2021,A,0,Economic Survey,IT_NET_BBND,,IS_10MT30M,NUMBER,2023,,0.5119
2022,A,0,Economic Survey,IT_NET_BBND,,IS_10MT30M,NUMBER,2023,,0.559
2023,A,0,Economic Survey,IT_NET_BBND,,IS_10MT30M,NUMBER,2023,,0.812
2014,A,0,Economic Survey,IT_NET_BBND,,IS_1MT2M,NUMBER,2018,,0.378
2015,A,0,Economic Survey,IT_NET_BBND,,IS_1MT2M,NUMBER,2018,,0.075
2016,A,0,Economic Survey,IT_NET_BBND,,IS_1MT2M,NUMBER,2018,,0.085
2017,A,0,Economic Survey,IT_NET_BBND,,IS_1MT2M,NUMBER,2018,,0.043
2018,A,0,Economic Survey,IT_NET_BBND,,IS_1MT2M,NUMBER,2018,,0.019
2014,A,0,Economic Survey,IT_NET_BBND,,IS_256K,NUMBER,2023,,0.014
2015,A,0,Economic Survey,IT_NET_BBND,,IS_256K,NUMBER,2023,,0.01
2016,A,0,Economic Survey,IT_NET_BBND,,IS_256K,NUMBER,2023,,0.003
2017,A,0,Economic Survey,IT_NET_BBND,,IS_256K,NUMBER,2023,,0.003
2018,A,0,Economic Survey,IT_NET_BBND,,IS_256K,NUMBER,2023,,0.001
2019,A,0,Economic Survey,IT_NET_BBND,,IS_256K,NUMBER,2023,,0.025
2020,A,0,Economic Survey,IT_NET_BBND,,IS_256K,NUMBER,2023,,0.023
2021,A,0,Economic Survey,IT_NET_BBND,,IS_256K,NUMBER,2023,,0.02
2022,A,0,Economic Survey,IT_NET_BBND,,IS_256K,NUMBER,2023,,0.017
2023,A,0,Economic Survey,IT_NET_BBND,,IS_256K,NUMBER,2023,,0.019
2014,A,0,Economic Survey,IT_NET_BBND,,IS_2M,NUMBER,2018,,0.023
2015,A,0,Economic Survey,IT_NET_BBND,,IS_2M,NUMBER,2018,,0.017
2016,A,0,Economic Survey,IT_NET_BBND,,IS_2M,NUMBER,2018,,0.126
2017,A,0,Economic Survey,IT_NET_BBND,,IS_2M,NUMBER,2018,,0.289
2018,A,0,Economic Survey,IT_NET_BBND,,IS_2M,NUMBER,2018,,0.192
2019,A,0,Economic Survey,IT_NET_BBND,,IS_2MT10M,NUMBER,2023,,0.702
2020,A,0,Economic Survey,IT_NET_BBND,,IS_2MT10M,NUMBER,2023,,0.879
2021,A,0,Economic Survey,IT_NET_BBND,,IS_2MT10M,NUMBER,2023,,0.858
2022,A,0,Economic Survey,IT_NET_BBND,,IS_2MT10M,NUMBER,2023,,0.975
2023,A,0,Economic Survey,IT_NET_BBND,,IS_2MT10M,NUMBER,2023,,1.196
2019,A,0,Economic Survey,IT_NET_BBND,,IS_30MT100M,NUMBER,2023,,0.238
2020,A,0,Economic Survey,IT_NET_BBND,,IS_30MT100M,NUMBER,2023,,0.274
2021,A,0,Economic Survey,IT_NET_BBND,,IS_30MT100M,NUMBER,2023,,0.2947
2022,A,0,Economic Survey,IT_NET_BBND,,IS_30MT100M,NUMBER,2023,,0.0714
2023,A,0,Economic Survey,IT_NET_BBND,,IS_30MT100M,NUMBER,2023,,0.474
2014,A,0,Economic Survey,IT_NET_BBND,,IS_512K,NUMBER,2018,,0.064
2015,A,0,Economic Survey,IT_NET_BBND,,IS_512K,NUMBER,2018,,0.015
2016,A,0,Economic Survey,IT_NET_BBND,,IS_512K,NUMBER,2018,,0.018
2017,A,0,Economic Survey,IT_NET_BBND,,IS_512K,NUMBER,2018,,0.009
2018,A,0,Economic Survey,IT_NET_BBND,,IS_512K,NUMBER,2018,,0.001
2022,A,0,Economic Survey,IT_NET_BBND,,IS_GE1G,NUMBER,2023,,0.0
2023,A,0,Economic Survey,IT_NET_BBND,,IS_GE1G,NUMBER,2023,,0.001
2014,A,0,Economic Survey,IT_NET_BBND,,IS_GE2M,NUMBER,2018,,0.058
2015,A,0,Economic Survey,IT_NET_BBND,,IS_GE2M,NUMBER,2018,,0.288
2016,A,0,Economic Survey,IT_NET_BBND,,IS_GE2M,NUMBER,2018,,0.341
2017,A,0,Economic Survey,IT_NET_BBND,,IS_GE2M,NUMBER,2018,,0.521
2018,A,0,Economic Survey,IT_NET_BBND,,IS_GE2M,NUMBER,2018,,0.599
