Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,SI_POV_NAHC,,,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,46.6
2016,SI_POV_NAHC,,,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,36.1
2019,SI_POV_NAHC,,,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,33.6
2020,SI_POV_NAHC,,,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,42.9
2021,SI_POV_NAHC,,,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,38.6
2022,SI_POV_NAHC,,,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,39.8
2014,SI_POV_NAHC,,,,R,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,49.7
2016,SI_POV_NAHC,,,,R,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,38.8
2019,SI_POV_NAHC,,,,R,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,37.0
2020,SI_POV_NAHC,,,,R,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,43.5
2021,SI_POV_NAHC,,,,R,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,40.7
2022,SI_POV_NAHC,,,,R,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,42.9
2014,SI_POV_NAHC,,,,U,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,34.4
2016,SI_POV_NAHC,,,,U,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,29.5
2019,SI_POV_NAHC,,,,U,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,26.0
2020,SI_POV_NAHC,,,,U,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,41.7
2021,SI_POV_NAHC,,,,U,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,34.1
2022,SI_POV_NAHC,,,,U,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,33.2
2016,SI_POV_NAHC,,,Y_GE65,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,39.1
2019,SI_POV_NAHC,,,Y_GE65,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,32.1
2020,SI_POV_NAHC,,,Y_GE65,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,39.5
2021,SI_POV_NAHC,,,Y_GE65,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,46.6
2022,SI_POV_NAHC,,,Y_GE65,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,44.4
2016,SI_POV_NAHC,,,Y0T17,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,41.6
2019,SI_POV_NAHC,,,Y0T17,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,39.5
2020,SI_POV_NAHC,,,Y0T17,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,46.0
2021,SI_POV_NAHC,,,Y0T17,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,40.3
2022,SI_POV_NAHC,,,Y0T17,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,42.4
2016,SI_POV_NAHC,,,Y0T5,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,37.0
2019,SI_POV_NAHC,,,Y0T5,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,37.5
2020,SI_POV_NAHC,,,Y0T5,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,40.5
2021,SI_POV_NAHC,,,Y0T5,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,34.5
2022,SI_POV_NAHC,,,Y0T5,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,36.4
2016,SI_POV_NAHC,,,Y14T17,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,43.8
2019,SI_POV_NAHC,,,Y14T17,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,39.9
2020,SI_POV_NAHC,,,Y14T17,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,47.7
2021,SI_POV_NAHC,,,Y14T17,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,44.9
2022,SI_POV_NAHC,,,Y14T17,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,47.4
2022,SI_POV_NAHC,,,Y15T24,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,44.0
2016,SI_POV_NAHC,,,Y15T64,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,32.2
2019,SI_POV_NAHC,,,Y15T64,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,30.5
2020,SI_POV_NAHC,,,Y15T64,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,40.8
2021,SI_POV_NAHC,,,Y15T64,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,36.7
2022,SI_POV_NAHC,,,Y15T64,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,38.5
2016,SI_POV_NAHC,,,Y18T34,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,28.9
2019,SI_POV_NAHC,,,Y18T34,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,28.3
2020,SI_POV_NAHC,,,Y18T34,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,39.6
2021,SI_POV_NAHC,,,Y18T34,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,34.4
2022,SI_POV_NAHC,,,Y18T34,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,36.7
2016,SI_POV_NAHC,,,Y6T13,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,44.0
2019,SI_POV_NAHC,,,Y6T13,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,40.6
2020,SI_POV_NAHC,,,Y6T13,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,48.6
2021,SI_POV_NAHC,,,Y6T13,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,42.3
2022,SI_POV_NAHC,,,Y6T13,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,44.4
2016,SI_POV_NAHC,,F,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,36.1
2019,SI_POV_NAHC,,F,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,34.1
2020,SI_POV_NAHC,,F,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,42.2
2021,SI_POV_NAHC,,F,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,38.0
2022,SI_POV_NAHC,,F,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,39.3
2016,SI_POV_NAHC,,M,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,36.2
2019,SI_POV_NAHC,,M,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,34.0
2020,SI_POV_NAHC,,M,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,42.9
2021,SI_POV_NAHC,,M,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,38.3
2022,SI_POV_NAHC,,M,,,PT,A,0,2022,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,,40.3
