Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,GR_G14_GDP,,PT,,16.7
2015,GR_G14_GDP,,PT,,16.6
2016,GR_G14_GDP,,PT,,16.9
2017,GR_G14_GDP,,PT,,17.3
2018,GR_G14_GDP,,PT,,16.6
2019,GR_G14_GDP,,PT,,17.1
2020,GR_G14_GDP,,PT,,17.0
2021,GR_G14_GDP,,PT,,15.3
2022,GR_G14_GDP,,PT,,16.5
2023,GR_G14_GDP,,PT,,15.4
2016,_L_KE_170101_01,,PT,,16.2
2017,_L_KE_170101_01,,PT,,15.9
2018,_L_KE_170101_01,,PT,,15.1
2019,_L_KE_170101_01,,PT,,15.1
2020,_L_KE_170101_01,,PT,,14.3
2021,_L_KE_170101_01,,PT,,13.6
2022,_L_KE_170101_01,,PT,,14.6
2023,_L_KE_170101_01,,PT,,13.6
2016,_L_KE_170101_02,,PT,,0.0
2017,_L_KE_170101_02,,PT,,0.0
2018,_L_KE_170101_02,,PT,,0.0
2019,_L_KE_170101_02,,PT,,0.0
2020,_L_KE_170101_02,,PT,,0.0
2021,_L_KE_170101_02,,PT,,0.0
2022,_L_KE_170101_02,,PT,,0.0
2023,_L_KE_170101_02,,PT,,0.0
2016,_L_KE_170101_03,,PT,,0.4
2017,_L_KE_170101_03,,PT,,0.3
2018,_L_KE_170101_03,,PT,,0.3
2019,_L_KE_170101_03,,PT,,0.5
2020,_L_KE_170101_03,,PT,,0.2
2021,_L_KE_170101_03,,PT,,0.3
2022,_L_KE_170101_03,,PT,,0.2
2023,_L_KE_170101_03,,PT,,0.2
2016,_L_KE_170101_04,,PT,,0.2
2017,_L_KE_170101_04,,PT,,1.1
2018,_L_KE_170101_04,,PT,,1.2
2019,_L_KE_170101_04,,PT,,1.6
2020,_L_KE_170101_04,,PT,,2.5
2021,_L_KE_170101_04,,PT,,1.4
2022,_L_KE_170101_04,,PT,,1.7
2023,_L_KE_170101_04,,PT,,1.6
