Year,SERIES,Value
2014,SD_XPD_ESED,15.6
2015,SD_XPD_ESED,15.3
2016,SD_XPD_ESED,14.3
2017,SD_XPD_ESED,16.0
2018,SD_XPD_ESED,14.5
2019,SD_XPD_ESED,15.5
2020,SD_XPD_ESED,17.9
2021,SD_XPD_ESED,16.3
2022,SD_XPD_ESED,15.9
2023,SD_XPD_ESED,18.4
2014,SG_XPD_HLTH,2.5
2015,SG_XPD_HLTH,1.7
2016,SG_XPD_HLTH,2.5
2017,SG_XPD_HLTH,2.4
2018,SG_XPD_HLTH,3.2
2019,SG_XPD_HLTH,3.5
2020,SG_XPD_HLTH,4.0
2021,SG_XPD_HLTH,3.3
2022,SG_XPD_HLTH,2.9
2023,SG_XPD_HLTH,2.8
2014,SG_XPD_PROT,2.9
2015,SG_XPD_PROT,3.7
2016,SG_XPD_PROT,3.7
2017,SG_XPD_PROT,3.8
2018,SG_XPD_PROT,4.5
2019,SG_XPD_PROT,4.9
2020,SG_XPD_PROT,5.6
2021,SG_XPD_PROT,5.8
2022,SG_XPD_PROT,5.8
2023,SG_XPD_PROT,5.5
