Year,SERIES,REF_AREA,SEX,OCCUPATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2017,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,A,0,,33.9
2018,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,A,0,,34.2
2019,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,A,0,,33.6
2020,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,A,0,,33.7
2021,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,A,0,,33.6
2022,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,A,0,,33.7
2023,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,A,0,,33.5
2024,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,A,0,,33.4
2014,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,A,0,,0.0
2015,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,A,0,,0.0
2016,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,A,0,,0.0
2017,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,A,0,,6.4
2018,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,A,0,,6.4
2019,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,A,0,,4.3
2020,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,A,0,,6.4
2021,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,A,0,,6.4
2022,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,A,0,,14.9
2023,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,A,0,,14.9
2024,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,A,0,,14.9
2014,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,A,0,,19.2
2015,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,A,0,,19.2
2016,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,A,0,,19.2
2017,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,A,0,,14.9
2018,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,A,0,,14.9
2019,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,A,0,,17.4
2020,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,A,0,,16.3
2021,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,A,0,,16.3
2022,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,A,0,,17.0
2023,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,A,0,,17.0
2024,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,A,0,,19.6
2014,SG_GEN_PARL,,F,,PT,A,0,,19.8
2015,SG_GEN_PARL,,F,,PT,A,0,,19.8
2016,SG_GEN_PARL,,F,,PT,A,0,,19.8
2017,SG_GEN_PARL,,F,,PT,A,0,,21.5
2018,SG_GEN_PARL,,F,,PT,A,0,,21.8
2019,SG_GEN_PARL,,F,,PT,A,0,,21.8
2020,SG_GEN_PARL,,F,,PT,A,0,,21.5
2021,SG_GEN_PARL,,F,,PT,A,0,,21.5
2022,SG_GEN_PARL,,F,,PT,A,0,,23.2
2023,SG_GEN_PARL,,F,,PT,A,0,,23.5
2024,SG_GEN_PARL,,F,,PT,A,0,,23.6
