Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,Population aged 3 years and above,IT_USE_II99,,,,,PT,2019,,6.3
2016,A,0,Population aged 3 years and above,IT_USE_II99,,,,,PT,2019,,16.6
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,,,PT,2019,,22.7
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,,R,PT,2019,,13.8
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,,U,PT,2019,,42.6
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y_GE75,,PT,2019,,4.2
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y10T14,,PT,2019,,4.0
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y15T19,,PT,2019,,18.9
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y20T24,,PT,2019,,48.2
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y25T29,,PT,2019,,47.9
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y30T34,,PT,2019,,41.0
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y35T39,,PT,2019,,37.9
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y3T4,,PT,2019,,2.1
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y40T44,,PT,2019,,32.4
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y45T49,,PT,2019,,28.8
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y50T54,,PT,2019,,26.1
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y55T59,,PT,2019,,20.8
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y5T9,,PT,2019,,2.7
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y60T64,,PT,2019,,15.1
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y65T69,,PT,2019,,10.6
2019,A,0,Population aged 3 years and above,IT_USE_II99,,,Y70T74,,PT,2019,,7.6
2019,A,0,Population aged 3 years and above,IT_USE_II99,,F,,,PT,2019,,20.2
2019,A,0,Population aged 3 years and above,IT_USE_II99,,M,,,PT,2019,,25.2
