Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2024,,19.9
2015,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2024,,19.5
2016,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2024,,19.1
2017,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2024,,18.8
2018,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2024,,26.1
2019,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2024,,25.5
2020,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2024,,43.0
2021,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2024,,46.8
2022,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2024,,52.1
2023,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2024,,51.1
2024,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2024,,49.3
