Year,SERIES,REF_AREA,OCCUPATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,,21.0
2015,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,,21.0
2016,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,,23.4
2017,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,,24.1
2018,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,,25.1
2019,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,,18.0
2020,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,,19.0
2021,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,,19.0
2022,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,,19.0
2023,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,,19.0
2014,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,,165.0
2015,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,,151.0
2016,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,,167.4
2017,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,,174.6
2018,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,,187.9
2019,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,,91.0
2020,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,,81.0
2021,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,,99.0
2022,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,,99.0
2023,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,,125.0
2014,SH_MED_DEN,,ISCO08_2261,PER_100000_POP,A,0,2023,,3.0
2015,SH_MED_DEN,,ISCO08_2261,PER_100000_POP,A,0,2023,,2.0
2016,SH_MED_DEN,,ISCO08_2261,PER_100000_POP,A,0,2023,,2.6
2017,SH_MED_DEN,,ISCO08_2261,PER_100000_POP,A,0,2023,,2.7
2018,SH_MED_DEN,,ISCO08_2261,PER_100000_POP,A,0,2023,,2.7
2019,SH_MED_DEN,,ISCO08_2261,PER_100000_POP,A,0,2023,,2.0
2020,SH_MED_DEN,,ISCO08_2261,PER_100000_POP,A,0,2023,,2.0
2021,SH_MED_DEN,,ISCO08_2261,PER_100000_POP,A,0,2023,,2.0
2022,SH_MED_DEN,,ISCO08_2261,PER_100000_POP,A,0,2023,,2.0
2023,SH_MED_DEN,,ISCO08_2261,PER_100000_POP,A,0,2023,,2.0
2014,SH_MED_DEN,,ISCO08_2262,PER_100000_POP,A,0,2023,,5.0
2015,SH_MED_DEN,,ISCO08_2262,PER_100000_POP,A,0,2023,,7.0
2016,SH_MED_DEN,,ISCO08_2262,PER_100000_POP,A,0,2023,,7.1
2017,SH_MED_DEN,,ISCO08_2262,PER_100000_POP,A,0,2023,,7.4
2018,SH_MED_DEN,,ISCO08_2262,PER_100000_POP,A,0,2023,,7.6
2019,SH_MED_DEN,,ISCO08_2262,PER_100000_POP,A,0,2023,,3.0
2020,SH_MED_DEN,,ISCO08_2262,PER_100000_POP,A,0,2023,,3.0
2021,SH_MED_DEN,,ISCO08_2262,PER_100000_POP,A,0,2023,,3.0
2022,SH_MED_DEN,,ISCO08_2262,PER_100000_POP,A,0,2023,,3.0
2023,SH_MED_DEN,,ISCO08_2262,PER_100000_POP,A,0,2023,,3.0
2019,SH_MED_DEN,,ISCO08_3213,PER_100000_POP,A,0,2023,,14.0
2020,SH_MED_DEN,,ISCO08_3213,PER_100000_POP,A,0,2023,,14.0
2021,SH_MED_DEN,,ISCO08_3213,PER_100000_POP,A,0,2023,,14.0
2022,SH_MED_DEN,,ISCO08_3213,PER_100000_POP,A,0,2023,,14.0
2023,SH_MED_DEN,,ISCO08_3213,PER_100000_POP,A,0,2023,,14.0
