Indicator,Disaggregations,Number of disaggregations
#1-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION",4
#1-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#1-2-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION, AGE",5
#1-3-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX",4
#1-4-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#1-4-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION",5
#1-5-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#1-5-4,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#1-a-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#10-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION, INCOME_WEALTH_QUANTILE",5
#10-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, AGE, INCOME_WEALTH_QUANTILE",6
#10-4-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#10-4-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#10-5-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#10-6-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#10-7-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#10-7-3,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#10-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#10-b-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#11-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#11-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, URBANISATION",5
#11-3-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, URBANISATION",5
#11-4-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#11-5-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#11-6-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, URBANISATION",5
#11-7-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, URBANISATION",5
#11-b-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#11-b-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#2-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION",4
#2-1-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION",4
#2-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION",5
#2-5-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
