Indicator,Disaggregation combinations using this value
#1-a-2,3
#10-4-1,1
#10-5-1,5
#10-6-1,2
#10-a-1,1
#10-b-1,2
#11-4-1,1
#11-6-1,4
#12-1-1,1
#12-4-1,1
#12-a-1,1
#14-4-1,1
#14-5-1,1
#15-1-1,1
#15-1-2,2
#16-1-1,7
#16-10-2,1
#16-3-2,3
#16-4-2,1
#16-5-1,1
#16-6-1,3
#16-6-2,1
#16-7-1,13
#16-8-1,2
#17-1-1,5
#17-1-2,5
#17-11-1,1
#17-12-1,1
#17-13-1,23
#17-18-2,1
#17-18-3,1
#17-19-2,3
#17-3-2,1
#17-4-1,1
#17-5-1,1
#17-6-1,6
#2-a-1,1
#2-a-2,1
#2-c-1,1
#3-3-3,1
#3-4-2,1
#3-6-1,1
#3-b-2,1
#3-c-1,5
#4-1-1,12
#4-5-1,5
#4-a-1,1
#4-c-1,3
#5-5-1,4
#6-5-1,1
#7-2-1,1
#7-3-1,1
#7-b-1,1
#8-1-1,1
#8-10-1,1
#8-2-1,1
#8-3-1,1
#8-8-2,1
#8-9-1,2
#8-a-1,1
#9-1-2,8
#9-2-1,2
#9-2-2,1
#9-5-1,1
#9-a-1,1
#9-b-1,1
#9-c-1,3
