Year,SERIES,Value
2014,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.0
2015,"Number of commercial bank branches per 100,000 adults [8.10.1]",7.0
2016,"Number of commercial bank branches per 100,000 adults [8.10.1]",7.0
2017,"Number of commercial bank branches per 100,000 adults [8.10.1]",6.0
2018,"Number of commercial bank branches per 100,000 adults [8.10.1]",6.0
2019,"Number of commercial bank branches per 100,000 adults [8.10.1]",6.0
2020,"Number of commercial bank branches per 100,000 adults [8.10.1]",6.0
2021,"Number of commercial bank branches per 100,000 adults [8.10.1]",6.0
2022,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.1
2014,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",12.0
2015,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",12.0
2016,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",11.0
2017,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",12.0
2018,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",11.0
2019,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",11.0
2020,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",10.0
2021,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",11.0
2022,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",8.0
2023,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",8.0
