Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,537236.0,,Kenyan Shillings,Developing countries’ and least developed countries’ share of global services exports [17.11.1]
2015,581045.0,,Kenyan Shillings,Developing countries’ and least developed countries’ share of global services exports [17.11.1]
2016,578067.0,,Kenyan Shillings,Developing countries’ and least developed countries’ share of global services exports [17.11.1]
2017,597904.0,,Kenyan Shillings,Developing countries’ and least developed countries’ share of global services exports [17.11.1]
2018,614316.0,,Kenyan Shillings,Developing countries’ and least developed countries’ share of global services exports [17.11.1]
2019,596677.0,,Kenyan Shillings,Developing countries’ and least developed countries’ share of global services exports [17.11.1]
2020,643706.2,,Kenyan Shillings,Developing countries’ and least developed countries’ share of global services exports [17.11.1]
2021,743671.1,,Kenyan Shillings,Developing countries’ and least developed countries’ share of global services exports [17.11.1]
2022,873144.6,,Kenyan Shillings,Developing countries’ and least developed countries’ share of global services exports [17.11.1]
2023,1007919.3,,Kenyan Shillings,Developing countries’ and least developed countries’ share of global services exports [17.11.1]
2024,1112310.3,,Kenyan Shillings,Developing countries’ and least developed countries’ share of global services exports [17.11.1]
