Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,4.5,,Normal value,Units,Percent,Proportion of population covered by at least one social protection benefit [1.3.1]
2016,4.4,,Normal value,Units,Percent,Proportion of population covered by at least one social protection benefit [1.3.1]
2017,4.2,,Normal value,Units,Percent,Proportion of population covered by at least one social protection benefit [1.3.1]
2018,4.0,,Normal value,Units,Percent,Proportion of population covered by at least one social protection benefit [1.3.1]
2019,3.3,,Normal value,Units,Percent,Proportion of population covered by at least one social protection benefit [1.3.1]
2020,3.2,,Normal value,Units,Percent,Proportion of population covered by at least one social protection benefit [1.3.1]
2021,2.9,,Normal value,Units,Percent,Proportion of population covered by at least one social protection benefit [1.3.1]
2022,2.8,,Normal value,Units,Percent,Proportion of population covered by at least one social protection benefit [1.3.1]
2015,0.4,,Normal value,Units,Percent,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1]
2016,0.4,,Normal value,Units,Percent,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1]
2017,0.4,,Normal value,Units,Percent,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1]
2018,0.4,,Normal value,Units,Percent,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1]
2019,0.3,,Normal value,Units,Percent,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1]
2020,0.3,,Normal value,Units,Percent,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1]
2021,0.3,,Normal value,Units,Percent,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1]
2022,0.3,,Normal value,Units,Percent,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1]
2018,78.3,,Normal value,Units,Percent,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
2019,63.0,,Normal value,Units,Percent,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
2020,57.3,,Normal value,Units,Percent,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
2021,56.4,,Normal value,Units,Percent,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
2022,55.9,,Normal value,Units,Percent,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
2024,91.0,,Normal value,Units,Percent,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
