Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,4.0,,Normal value,Units,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]"
2015,4.0,,Normal value,Units,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]"
2016,4.0,,Normal value,Units,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]"
2017,4.0,,Normal value,Units,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]"
2018,3.0,,Normal value,Units,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]"
2019,6.248384,,Normal value,Units,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]"
2020,6.264142,,Normal value,Units,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]"
2021,6.600935,,Normal value,Units,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]"
2022,6.145438,,Normal value,Units,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]"
2023,5.894157,,Normal value,Units,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]"
2024,6.0,,Normal value,Units,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]"
