Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,225.0,,Normal value,Units,"Per 100,000 population","Malaria incidence per 1,000 population at risk [3.3.3]"
2015,120.0,,Normal value,Units,"Per 100,000 population","Malaria incidence per 1,000 population at risk [3.3.3]"
2016,111.0,,Normal value,Units,"Per 100,000 population","Malaria incidence per 1,000 population at risk [3.3.3]"
2017,87.0,,Normal value,Units,"Per 100,000 population","Malaria incidence per 1,000 population at risk [3.3.3]"
2018,89.2,,Normal value,Units,"Per 100,000 population","Malaria incidence per 1,000 population at risk [3.3.3]"
2019,102.9,,Normal value,Units,"Per 100,000 population","Malaria incidence per 1,000 population at risk [3.3.3]"
2020,87.3,,Normal value,Units,"Per 100,000 population","Malaria incidence per 1,000 population at risk [3.3.3]"
2021,91.3,,Normal value,Units,"Per 100,000 population","Malaria incidence per 1,000 population at risk [3.3.3]"
2022,92.9,,Normal value,Units,"Per 100,000 population","Malaria incidence per 1,000 population at risk [3.3.3]"
2023,104.4,,Normal value,Units,"Per 100,000 population","Malaria incidence per 1,000 population at risk [3.3.3]"
