Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,36.9,,Normal value,Units,Percent,Proportion of tariff lines applied to imports with zero-tariff [10.a.1]
2016,37.1,,Normal value,Units,Percent,Proportion of tariff lines applied to imports with zero-tariff [10.a.1]
2017,37.3,,Normal value,Units,Percent,Proportion of tariff lines applied to imports with zero-tariff [10.a.1]
2018,34.4,,Normal value,Units,Percent,Proportion of tariff lines applied to imports with zero-tariff [10.a.1]
2019,35.4,,Normal value,Units,Percent,Proportion of tariff lines applied to imports with zero-tariff [10.a.1]
2020,37.4,,Normal value,Units,Percent,Proportion of tariff lines applied to imports with zero-tariff [10.a.1]
2021,37.8,,Normal value,Units,Percent,Proportion of tariff lines applied to imports with zero-tariff [10.a.1]
2022,39.7,,Normal value,Units,Percent,Proportion of tariff lines applied to imports with zero-tariff [10.a.1]
2023,32.4,,Normal value,Units,Percent,Proportion of tariff lines applied to imports with zero-tariff [10.a.1]
2024,29.4,,Normal value,Units,Percent,Proportion of tariff lines applied to imports with zero-tariff [10.a.1]
