Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,11.9,,Percent,Proportion of household with primary reliance on clean fuels and technology
2016,14.6,,Percent,Proportion of household with primary reliance on clean fuels and technology
2018,19.8,,Percent,Proportion of household with primary reliance on clean fuels and technology
2019,25.4,,Percent,Proportion of household with primary reliance on clean fuels and technology
2024,34.4,,Percent,Proportion of household with primary reliance on clean fuels and technology
2014,12.3,,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2016,10.7,,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2019,25.1,,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2022,21.2,,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2024,26.1,,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2024,25.0,,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
