Year,Value,SERIES
2015,93.2,Primary government expenditures as a proportion of original approved budget [16.6.1]
2016,90.3,Primary government expenditures as a proportion of original approved budget [16.6.1]
2017,91.5,Primary government expenditures as a proportion of original approved budget [16.6.1]
2018,92.7,Primary government expenditures as a proportion of original approved budget [16.6.1]
2019,118.0,Primary government expenditures as a proportion of original approved budget [16.6.1]
2020,89.9,Primary government expenditures as a proportion of original approved budget [16.6.1]
2021,112.0,Primary government expenditures as a proportion of original approved budget [16.6.1]
2022,103.6,Primary government expenditures as a proportion of original approved budget [16.6.1]
2023,106.8,Primary government expenditures as a proportion of original approved budget [16.6.1]
2015,97.9,Primary government expenditures as a proportion of original approved budget- Recurrent
2016,98.8,Primary government expenditures as a proportion of original approved budget- Recurrent
2017,95.5,Primary government expenditures as a proportion of original approved budget- Recurrent
2018,98.9,Primary government expenditures as a proportion of original approved budget- Recurrent
2019,121.9,Primary government expenditures as a proportion of original approved budget- Recurrent
2020,86.7,Primary government expenditures as a proportion of original approved budget- Recurrent
2021,121.7,Primary government expenditures as a proportion of original approved budget- Recurrent
2022,112.5,Primary government expenditures as a proportion of original approved budget- Recurrent
2023,119.6,Primary government expenditures as a proportion of original approved budget- Recurrent
2015,83.6,Primary government expenditures as a proportion of original approved budget- Development
2016,70.7,Primary government expenditures as a proportion of original approved budget- Development
2017,82.2,Primary government expenditures as a proportion of original approved budget- Development
2018,73.4,Primary government expenditures as a proportion of original approved budget- Development
2019,104.4,Primary government expenditures as a proportion of original approved budget- Development
2020,102.2,Primary government expenditures as a proportion of original approved budget- Development
2021,86.3,Primary government expenditures as a proportion of original approved budget- Development
2022,73.7,Primary government expenditures as a proportion of original approved budget- Development
2023,63.8,Primary government expenditures as a proportion of original approved budget- Development
