Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,12.1,,Percent,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
2015,12.9,,Percent,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
2016,12.7,,Percent,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
2017,12.3,,Percent,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
2018,12.2,,Percent,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
2019,12.1,,Percent,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
2020,11.6,,Percent,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
2021,11.6,,Percent,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
2022,11.7,,Percent,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
2023,11.5,,Percent,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
2024,11.5,,Percent,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
