Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,274.6,,Kenyan Shillings,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2015,296.6,,Kenyan Shillings,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2016,338.8,,Kenyan Shillings,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2017,284.8,,Kenyan Shillings,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2018,310.9,,Kenyan Shillings,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2019,306.6,,Kenyan Shillings,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2020,299.0,,Kenyan Shillings,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2021,136.8,,Kenyan Shillings,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2022,174.0,,Kenyan Shillings,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2023,384.9,,Kenyan Shillings,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2024,388.8,,Kenyan Shillings,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
