Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,12.0,,Normal value,Units,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2015,12.0,,Normal value,Units,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2016,11.0,,Normal value,Units,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2017,12.0,,Normal value,Units,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2018,11.0,,Normal value,Units,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2019,11.0,,Normal value,Units,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2020,10.0,,Normal value,Units,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2021,11.0,,Normal value,Units,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2022,8.0,,Normal value,Units,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2023,8.0,,Normal value,Units,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2024,9.0,,Normal value,Units,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2014,5.0,,Normal value,Units,Number,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2015,7.0,,Normal value,Units,Number,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2016,7.0,,Normal value,Units,Number,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2017,6.0,,Normal value,Units,Number,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2018,6.0,,Normal value,Units,Number,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2019,6.0,,Normal value,Units,Number,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2020,6.0,,Normal value,Units,Number,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2021,6.0,,Normal value,Units,Number,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2022,5.1,,Normal value,Units,Number,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2023,6.2,,Normal value,Units,Number,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2024,6.1,,Normal value,Units,Number,"Number of commercial bank branches per 100,000 adults [8.10.1]"
