Year,SERIES,REF_AREA,SEX,AGE,OCCUPATION,DISABILITY_STATUS,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2019,_L_KE_160701_01,,F,,,,RO,A,0,2023,,0.61
2020,_L_KE_160701_01,,F,,,,RO,A,0,2023,,0.6157
2021,_L_KE_160701_01,,F,,,,RO,A,0,2023,,0.6161
2022,_L_KE_160701_01,,F,,,,RO,A,0,2023,,0.614
2023,_L_KE_160701_01,,F,,,,RO,A,0,2023,,0.6132
2020,_L_KE_160701_02,,F,,ISCO08_2612,,RO,A,0,2023,,0.933
2021,_L_KE_160701_02,,F,,ISCO08_2612,,RO,A,0,2023,,0.9373
2022,_L_KE_160701_02,,F,,ISCO08_2612,,RO,A,0,2023,,1.1351
2023,_L_KE_160701_02,,F,,ISCO08_2612,,RO,A,0,2023,,1.0122
2020,_L_KE_160701_02,,F,,ISCO08_2612,PD,RO,A,0,2023,,0.6898
2021,_L_KE_160701_02,,F,,ISCO08_2612,PD,RO,A,0,2023,,0.7915
2022,_L_KE_160701_02,,F,,ISCO08_2612,PD,RO,A,0,2023,,1.0918
2023,_L_KE_160701_02,,F,,ISCO08_2612,PD,RO,A,0,2023,,0.9034
2020,_L_KE_160701_02,,F,,ISCO08_2619R,,RO,A,0,2023,,1.1024
2021,_L_KE_160701_02,,F,,ISCO08_2619R,,RO,A,0,2023,,1.1916
2022,_L_KE_160701_02,,F,,ISCO08_2619R,,RO,A,0,2023,,1.1041
2023,_L_KE_160701_02,,F,,ISCO08_2619R,,RO,A,0,2023,,1.0838
2020,_L_KE_160701_02,,F,,ISCO08_2619R,PD,RO,A,0,2023,,0.0
2021,_L_KE_160701_02,,F,,ISCO08_2619R,PD,RO,A,0,2023,,0.0
2022,_L_KE_160701_02,,F,,ISCO08_2619R,PD,RO,A,0,2023,,0.0
2023,_L_KE_160701_02,,F,,ISCO08_2619R,PD,RO,A,0,2023,,0.0
2020,_L_KE_160701_02,,F,Y18T44,ISCO08_2612,,RO,A,0,2023,,0.258
2021,_L_KE_160701_02,,F,Y18T44,ISCO08_2612,,RO,A,0,2023,,0.1951
2022,_L_KE_160701_02,,F,Y18T44,ISCO08_2612,,RO,A,0,2023,,0.373
2023,_L_KE_160701_02,,F,Y18T44,ISCO08_2612,,RO,A,0,2023,,0.7647
2020,_L_KE_160701_02,,F,Y18T44,ISCO08_2619R,,RO,A,0,2023,,0.0
2021,_L_KE_160701_02,,F,Y18T44,ISCO08_2619R,,RO,A,0,2023,,0.0
2022,_L_KE_160701_02,,F,Y18T44,ISCO08_2619R,,RO,A,0,2023,,0.0
2023,_L_KE_160701_02,,F,Y18T44,ISCO08_2619R,,RO,A,0,2023,,0.1147
2020,_L_KE_160701_03,,F,,,,RO,A,0,2023,,0.622
2021,_L_KE_160701_03,,F,,,,RO,A,0,2023,,0.6521
2022,_L_KE_160701_03,,F,,,,RO,A,0,2023,,0.6229
2023,_L_KE_160701_03,,F,,,,RO,A,0,2023,,0.6228
2020,_L_KE_160701_04,,F,,,,RO,A,0,2023,,0.4264
2021,_L_KE_160701_04,,F,,,,RO,A,0,2023,,0.4268
2022,_L_KE_160701_04,,F,,,,RO,A,0,2023,,0.4613
2023,_L_KE_160701_04,,F,,,,RO,A,0,2023,,0.4669
2020,_L_KE_160701_05,,F,,,,RO,A,0,2023,,0.6687
2021,_L_KE_160701_05,,F,,,,RO,A,0,2023,,0.6835
2022,_L_KE_160701_05,,F,,,,RO,A,0,2023,,0.6612
2023,_L_KE_160701_05,,F,,,,RO,A,0,2023,,0.6611
2020,_L_KE_160701_06,,F,,,,RO,A,0,2023,,0.162
2021,_L_KE_160701_06,,F,,,,RO,A,0,2023,,0.1621
2022,_L_KE_160701_06,,F,,,,RO,A,0,2023,,0.0406
2023,_L_KE_160701_06,,F,,,,RO,A,0,2023,,0.0406
2020,_L_KE_160701_07,,F,,,,RO,A,0,2023,,0.0405
2021,_L_KE_160701_07,,F,,,,RO,A,0,2023,,0.0405
2022,_L_KE_160701_07,,F,,,,RO,A,0,2023,,0.1622
2023,_L_KE_160701_07,,F,,,,RO,A,0,2023,,0.0811
2014,SG_DMK_PARLMP_UC,,F,,,,PT,A,0,2023,,26.9
2015,SG_DMK_PARLMP_UC,,F,,,,PT,A,0,2023,,26.9
2016,SG_DMK_PARLMP_UC,,F,,,,PT,A,0,2023,,26.9
2017,SG_DMK_PARLMP_UC,,F,,,,PT,A,0,2023,,31.3
2018,SG_DMK_PARLMP_UC,,F,,,,PT,A,0,2023,,31.3
2019,SG_DMK_PARLMP_UC,,F,,,,PT,A,0,2023,,31.3
2020,SG_DMK_PARLMP_UC,,F,,,,PT,A,0,2023,,31.3
2021,SG_DMK_PARLMP_UC,,F,,,,PT,A,0,2023,,32.8
2022,SG_DMK_PARLMP_UC,,F,,,,PT,A,0,2023,,31.3
2023,SG_DMK_PARLMP_UC,,F,,,,PT,A,0,2023,,31.3
