Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,_L_KE_050201_01,,F,,,PT,A,0,2022,,32.7
2022,_L_KE_050201_01,,F,,,PT,A,0,2022,,28.1
2014,_L_KE_050201_01,,F,,R,PT,A,0,2022,,32.3
2022,_L_KE_050201_01,,F,,R,PT,A,0,2022,,24.1
2014,_L_KE_050201_01,,F,,U,PT,A,0,2022,,33.7
2022,_L_KE_050201_01,,F,,U,PT,A,0,2022,,30.9
2014,_L_KE_050201_01,,F,Y15T19,,PT,A,0,2022,,25.3
2022,_L_KE_050201_01,,F,Y15T19,,PT,A,0,2022,,21.3
2014,_L_KE_050201_01,,F,Y20T24,,PT,A,0,2022,,32.3
2022,_L_KE_050201_01,,F,Y20T24,,PT,A,0,2022,,26.7
2014,_L_KE_050201_01,,F,Y25T29,,PT,A,0,2022,,34.7
2022,_L_KE_050201_01,,F,Y25T29,,PT,A,0,2022,,30.5
2014,_L_KE_050201_01,,F,Y30T34,,PT,A,0,2022,,34.3
2022,_L_KE_050201_01,,F,Y30T34,,PT,A,0,2022,,30.3
2014,_L_KE_050201_01,,F,Y35T39,,PT,A,0,2022,,34.4
2022,_L_KE_050201_01,,F,Y35T39,,PT,A,0,2022,,30.3
2014,_L_KE_050201_01,,F,Y40T44,,PT,A,0,2022,,28.2
2022,_L_KE_050201_01,,F,Y40T44,,PT,A,0,2022,,26.7
2014,_L_KE_050201_01,,F,Y45T49,,PT,A,0,2022,,30.4
2022,_L_KE_050201_01,,F,Y45T49,,PT,A,0,2022,,26.7
2014,VC_VAW_MARR,,F,,,PT,A,0,2022,,25.4
2022,VC_VAW_MARR,,F,,,PT,A,0,2022,,18.8
2014,VC_VAW_MARR,,F,,R,PT,A,0,2022,,25.9
2022,VC_VAW_MARR,,F,,R,PT,A,0,2022,,20.8
2014,VC_VAW_MARR,,F,,U,PT,A,0,2022,,25.0
2022,VC_VAW_MARR,,F,,U,PT,A,0,2022,,16.0
2014,VC_VAW_MARR,,F,Y15T19,,PT,A,0,2022,,18.9
2022,VC_VAW_MARR,,F,Y15T19,,PT,A,0,2022,,13.8
2014,VC_VAW_MARR,,F,Y20T24,,PT,A,0,2022,,27.0
2022,VC_VAW_MARR,,F,Y20T24,,PT,A,0,2022,,18.6
2014,VC_VAW_MARR,,F,Y25T29,,PT,A,0,2022,,28.5
2022,VC_VAW_MARR,,F,Y25T29,,PT,A,0,2022,,20.8
2014,VC_VAW_MARR,,F,Y30T34,,PT,A,0,2022,,24.9
2022,VC_VAW_MARR,,F,Y30T34,,PT,A,0,2022,,20.6
2014,VC_VAW_MARR,,F,Y35T39,,PT,A,0,2022,,25.4
2022,VC_VAW_MARR,,F,Y35T39,,PT,A,0,2022,,20.6
2014,VC_VAW_MARR,,F,Y40T44,,PT,A,0,2022,,21.3
2022,VC_VAW_MARR,,F,Y40T44,,PT,A,0,2022,,16.6
2014,VC_VAW_MARR,,F,Y45T49,,PT,A,0,2022,,22.6
2022,VC_VAW_MARR,,F,Y45T49,,PT,A,0,2022,,16.6
2014,VC_VAW_PHYV,,F,,,PT,A,0,2022,,22.6
2022,VC_VAW_PHYV,,F,,,PT,A,0,2022,,16.0
2014,VC_VAW_PHYV,,F,,R,PT,A,0,2022,,23.2
2022,VC_VAW_PHYV,,F,,R,PT,A,0,2022,,17.5
2014,VC_VAW_PHYV,,F,,U,PT,A,0,2022,,21.8
2022,VC_VAW_PHYV,,F,,U,PT,A,0,2022,,13.8
2014,VC_VAW_PHYV,,F,Y15T19,,PT,A,0,2022,,16.4
2022,VC_VAW_PHYV,,F,Y15T19,,PT,A,0,2022,,9.6
2014,VC_VAW_PHYV,,F,Y20T24,,PT,A,0,2022,,23.0
2022,VC_VAW_PHYV,,F,Y20T24,,PT,A,0,2022,,16.0
2014,VC_VAW_PHYV,,F,Y25T29,,PT,A,0,2022,,25.3
2022,VC_VAW_PHYV,,F,Y25T29,,PT,A,0,2022,,18.2
2014,VC_VAW_PHYV,,F,Y30T34,,PT,A,0,2022,,22.9
2022,VC_VAW_PHYV,,F,Y30T34,,PT,A,0,2022,,17.9
2014,VC_VAW_PHYV,,F,Y35T39,,PT,A,0,2022,,22.2
2022,VC_VAW_PHYV,,F,Y35T39,,PT,A,0,2022,,17.9
2014,VC_VAW_PHYV,,F,Y40T44,,PT,A,0,2022,,8.6
2022,VC_VAW_PHYV,,F,Y40T44,,PT,A,0,2022,,13.6
2014,VC_VAW_PHYV,,F,Y45T49,,PT,A,0,2022,,20.8
2022,VC_VAW_PHYV,,F,Y45T49,,PT,A,0,2022,,13.6
2014,VC_VAW_PSYV,,F,,,PT,A,0,2022,,23.8
2022,VC_VAW_PSYV,,F,,,PT,A,0,2022,,22.1
2014,VC_VAW_PSYV,,F,,R,PT,A,0,2022,,23.4
2022,VC_VAW_PSYV,,F,,R,PT,A,0,2022,,24.3
2014,VC_VAW_PSYV,,F,,U,PT,A,0,2022,,24.6
2022,VC_VAW_PSYV,,F,,U,PT,A,0,2022,,19.0
2014,VC_VAW_PSYV,,F,Y15T19,,PT,A,0,2022,,16.0
2022,VC_VAW_PSYV,,F,Y15T19,,PT,A,0,2022,,13.0
2014,VC_VAW_PSYV,,F,Y20T24,,PT,A,0,2022,,22.5
2022,VC_VAW_PSYV,,F,Y20T24,,PT,A,0,2022,,19.6
2014,VC_VAW_PSYV,,F,Y25T29,,PT,A,0,2022,,24.8
2022,VC_VAW_PSYV,,F,Y25T29,,PT,A,0,2022,,23.8
2014,VC_VAW_PSYV,,F,Y30T34,,PT,A,0,2022,,24.1
2022,VC_VAW_PSYV,,F,Y30T34,,PT,A,0,2022,,25.0
2014,VC_VAW_PSYV,,F,Y35T39,,PT,A,0,2022,,26.1
2022,VC_VAW_PSYV,,F,Y35T39,,PT,A,0,2022,,25.0
2014,VC_VAW_PSYV,,F,Y40T44,,PT,A,0,2022,,23.2
2022,VC_VAW_PSYV,,F,Y40T44,,PT,A,0,2022,,22.5
2014,VC_VAW_PSYV,,F,Y45T49,,PT,A,0,2022,,22.6
2022,VC_VAW_PSYV,,F,Y45T49,,PT,A,0,2022,,22.5
2014,VC_VAW_SEXV,,F,,,PT,A,0,2022,,9.8
2022,VC_VAW_SEXV,,F,,,PT,A,0,2022,,7.1
2022,VC_VAW_SEXV,,F,,R,PT,A,0,2022,,8.0
2022,VC_VAW_SEXV,,F,,U,PT,A,0,2022,,5.7
2022,VC_VAW_SEXV,,F,Y15T19,,PT,A,0,2022,,6.1
2022,VC_VAW_SEXV,,F,Y20T24,,PT,A,0,2022,,6.3
2022,VC_VAW_SEXV,,F,Y25T29,,PT,A,0,2022,,7.5
2022,VC_VAW_SEXV,,F,Y30T34,,PT,A,0,2022,,7.7
2022,VC_VAW_SEXV,,F,Y35T39,,PT,A,0,2022,,7.7
2022,VC_VAW_SEXV,,F,Y40T44,,PT,A,0,2022,,6.7
2022,VC_VAW_SEXV,,F,Y45T49,,PT,A,0,2022,,6.7
