Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,SD_XPD_ESED,,PT,2023,,15.6
2015,A,0,SD_XPD_ESED,,PT,2023,,15.3
2016,A,0,SD_XPD_ESED,,PT,2023,,14.3
2017,A,0,SD_XPD_ESED,,PT,2023,,16.0
2018,A,0,SD_XPD_ESED,,PT,2023,,14.5
2019,A,0,SD_XPD_ESED,,PT,2023,,15.5
2020,A,0,SD_XPD_ESED,,PT,2023,,17.9
2021,A,0,SD_XPD_ESED,,PT,2023,,16.3
2022,A,0,SD_XPD_ESED,,PT,2023,,15.9
2023,A,0,SD_XPD_ESED,,PT,2023,,18.4
2014,A,0,SG_XPD_HLTH,,PT,2023,,2.5
2015,A,0,SG_XPD_HLTH,,PT,2023,,1.7
2016,A,0,SG_XPD_HLTH,,PT,2023,,2.5
2017,A,0,SG_XPD_HLTH,,PT,2023,,2.4
2018,A,0,SG_XPD_HLTH,,PT,2023,,3.2
2019,A,0,SG_XPD_HLTH,,PT,2023,,3.5
2020,A,0,SG_XPD_HLTH,,PT,2023,,4.0
2021,A,0,SG_XPD_HLTH,,PT,2023,,3.3
2022,A,0,SG_XPD_HLTH,,PT,2023,,2.9
2023,A,0,SG_XPD_HLTH,,PT,2023,,2.8
2014,A,0,SG_XPD_PROT,,PT,2023,,2.9
2015,A,0,SG_XPD_PROT,,PT,2023,,3.7
2016,A,0,SG_XPD_PROT,,PT,2023,,3.7
2017,A,0,SG_XPD_PROT,,PT,2023,,3.8
2018,A,0,SG_XPD_PROT,,PT,2023,,4.5
2019,A,0,SG_XPD_PROT,,PT,2023,,4.9
2020,A,0,SG_XPD_PROT,,PT,2023,,5.6
2021,A,0,SG_XPD_PROT,,PT,2023,,5.8
2022,A,0,SG_XPD_PROT,,PT,2023,,5.8
2023,A,0,SG_XPD_PROT,,PT,2023,,5.5
