Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,SD_XPD_ESED,,PT,A,0,,15.6
2015,SD_XPD_ESED,,PT,A,0,,15.3
2016,SD_XPD_ESED,,PT,A,0,,14.3
2017,SD_XPD_ESED,,PT,A,0,,16.0
2018,SD_XPD_ESED,,PT,A,0,,14.5
2019,SD_XPD_ESED,,PT,A,0,,15.5
2020,SD_XPD_ESED,,PT,A,0,,17.9
2021,SD_XPD_ESED,,PT,A,0,,16.3
2022,SD_XPD_ESED,,PT,A,0,,15.9
2023,SD_XPD_ESED,,PT,A,0,,18.4
2024,SD_XPD_ESED,,PT,A,0,,18.7
2014,SG_XPD_HLTH,,PT,A,0,,2.5
2015,SG_XPD_HLTH,,PT,A,0,,1.7
2016,SG_XPD_HLTH,,PT,A,0,,2.5
2017,SG_XPD_HLTH,,PT,A,0,,2.4
2018,SG_XPD_HLTH,,PT,A,0,,3.2
2019,SG_XPD_HLTH,,PT,A,0,,3.5
2020,SG_XPD_HLTH,,PT,A,0,,4.0
2021,SG_XPD_HLTH,,PT,A,0,,3.3
2022,SG_XPD_HLTH,,PT,A,0,,2.9
2023,SG_XPD_HLTH,,PT,A,0,,2.8
2024,SG_XPD_HLTH,,PT,A,0,,3.0
2014,SG_XPD_PROT,,PT,A,0,,2.9
2015,SG_XPD_PROT,,PT,A,0,,3.7
2016,SG_XPD_PROT,,PT,A,0,,3.7
2017,SG_XPD_PROT,,PT,A,0,,3.8
2018,SG_XPD_PROT,,PT,A,0,,4.5
2019,SG_XPD_PROT,,PT,A,0,,4.9
2020,SG_XPD_PROT,,PT,A,0,,5.6
2021,SG_XPD_PROT,,PT,A,0,,5.8
2022,SG_XPD_PROT,,PT,A,0,,5.8
2023,SG_XPD_PROT,,PT,A,0,,5.5
2024,SG_XPD_PROT,,PT,A,0,,5.6
