Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,2024,,54.8
2015,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,2024,,56.7
2016,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,2024,,56.6
2017,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,2024,,52.8
2018,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,2024,,57.7
2019,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,2024,,54.9
2020,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,2024,,46.1
2021,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,2024,,48.2
2022,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,2024,,56.0
2023,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,2024,,53.6
2024,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,2024,,56.0
