Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Kenyan Shillings,Normal value,Millions,2024,,537236.0
2015,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Kenyan Shillings,Normal value,Millions,2024,,581045.0
2016,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Kenyan Shillings,Normal value,Millions,2024,,578067.0
2017,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Kenyan Shillings,Normal value,Millions,2024,,597904.0
2018,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Kenyan Shillings,Normal value,Millions,2024,,614316.0
2019,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Kenyan Shillings,Normal value,Millions,2024,,596677.0
2020,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Kenyan Shillings,Normal value,Millions,2024,,643706.2
2021,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Kenyan Shillings,Normal value,Millions,2024,,743671.1
2022,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Kenyan Shillings,Normal value,Millions,2024,,873144.6
2023,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Kenyan Shillings,Normal value,Millions,2024,,1007919.3
2024,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Kenyan Shillings,Normal value,Millions,2024,,1112310.3
