Year,SERIES,Reference area,Education level,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,Parity indices for all education indicators,,Secondary,Ratio,Normal value,Units,2024,,0.92
2015,Parity indices for all education indicators,,Secondary,Ratio,Normal value,Units,2024,,0.9
2016,Parity indices for all education indicators,,Secondary,Ratio,Normal value,Units,2024,,0.95
2017,Parity indices for all education indicators,,Secondary,Ratio,Normal value,Units,2024,,0.95
2018,Parity indices for all education indicators,,Secondary,Ratio,Normal value,Units,2024,,0.96
2019,Parity indices for all education indicators,,Secondary,Ratio,Normal value,Units,2024,,1.0
2020,Parity indices for all education indicators,,Secondary,Ratio,Normal value,Units,2024,,1.01
2021,Parity indices for all education indicators,,Secondary,Ratio,Normal value,Units,2024,,1.03
2022,Parity indices for all education indicators,,Secondary,Ratio,Normal value,Units,2024,,1.04
2023,Parity indices for all education indicators,,Secondary,Ratio,Normal value,Units,2024,,1.03
2024,Parity indices for all education indicators,,Secondary,Ratio,Normal value,Units,2024,,1.01
2014,Parity indices for all education indicators,,Middle-Level Colleges,Ratio,Normal value,Units,2024,,0.65
2015,Parity indices for all education indicators,,Middle-Level Colleges,Ratio,Normal value,Units,2024,,0.66
2016,Parity indices for all education indicators,,Middle-Level Colleges,Ratio,Normal value,Units,2024,,0.78
2017,Parity indices for all education indicators,,Middle-Level Colleges,Ratio,Normal value,Units,2024,,0.78
2018,Parity indices for all education indicators,,Middle-Level Colleges,Ratio,Normal value,Units,2024,,0.77
2019,Parity indices for all education indicators,,Middle-Level Colleges,Ratio,Normal value,Units,2024,,0.76
2020,Parity indices for all education indicators,,Middle-Level Colleges,Ratio,Normal value,Units,2024,,0.75
2021,Parity indices for all education indicators,,Middle-Level Colleges,Ratio,Normal value,Units,2024,,0.75
2022,Parity indices for all education indicators,,Middle-Level Colleges,Ratio,Normal value,Units,2024,,0.89
2023,Parity indices for all education indicators,,Middle-Level Colleges,Ratio,Normal value,Units,2024,,0.84
2024,Parity indices for all education indicators,,Middle-Level Colleges,Ratio,Normal value,Units,2024,,0.9
2014,Parity indices for all education indicators,,University,Ratio,Normal value,Units,2024,,0.71
2015,Parity indices for all education indicators,,University,Ratio,Normal value,Units,2024,,0.71
2016,Parity indices for all education indicators,,University,Ratio,Normal value,Units,2024,,0.71
2017,Parity indices for all education indicators,,University,Ratio,Normal value,Units,2024,,0.7
2018,Parity indices for all education indicators,,University,Ratio,Normal value,Units,2024,,0.7
2019,Parity indices for all education indicators,,University,Ratio,Normal value,Units,2024,,0.68
2020,Parity indices for all education indicators,,University,Ratio,Normal value,Units,2024,,0.68
2021,Parity indices for all education indicators,,University,Ratio,Normal value,Units,2024,,0.68
2022,Parity indices for all education indicators,,University,Ratio,Normal value,Units,2024,,0.74
2023,Parity indices for all education indicators,,University,Ratio,Normal value,Units,2024,,0.76
2024,Parity indices for all education indicators,,University,Ratio,Normal value,Units,2024,,0.82
2023,Parity indices for all education indicators,,Junior School,Ratio,Normal value,Units,2024,,0.96
2024,Parity indices for all education indicators,,Junior School,Ratio,Normal value,Units,2024,,0.94
2014,Parity indices for all education indicators,,Pre-primary education,Ratio,Normal value,Units,2024,,1.05
2015,Parity indices for all education indicators,,Pre-primary education,Ratio,Normal value,Units,2024,,0.97
2016,Parity indices for all education indicators,,Pre-primary education,Ratio,Normal value,Units,2024,,0.96
2017,Parity indices for all education indicators,,Pre-primary education,Ratio,Normal value,Units,2024,,0.96
2018,Parity indices for all education indicators,,Pre-primary education,Ratio,Normal value,Units,2024,,0.96
2019,Parity indices for all education indicators,,Pre-primary education,Ratio,Normal value,Units,2024,,0.96
2020,Parity indices for all education indicators,,Pre-primary education,Ratio,Normal value,Units,2024,,0.97
2021,Parity indices for all education indicators,,Pre-primary education,Ratio,Normal value,Units,2024,,1.0
2022,Parity indices for all education indicators,,Pre-primary education,Ratio,Normal value,Units,2024,,1.01
2023,Parity indices for all education indicators,,Pre-primary education,Ratio,Normal value,Units,2024,,1.01
2024,Parity indices for all education indicators,,Pre-primary education,Ratio,Normal value,Units,2024,,1.0
2014,Parity indices for all education indicators,,Primary education,Ratio,Normal value,Units,2024,,0.97
2015,Parity indices for all education indicators,,Primary education,Ratio,Normal value,Units,2024,,0.97
2016,Parity indices for all education indicators,,Primary education,Ratio,Normal value,Units,2024,,0.97
2017,Parity indices for all education indicators,,Primary education,Ratio,Normal value,Units,2024,,0.97
2018,Parity indices for all education indicators,,Primary education,Ratio,Normal value,Units,2024,,0.97
2019,Parity indices for all education indicators,,Primary education,Ratio,Normal value,Units,2024,,0.97
2020,Parity indices for all education indicators,,Primary education,Ratio,Normal value,Units,2024,,0.96
2021,Parity indices for all education indicators,,Primary education,Ratio,Normal value,Units,2024,,0.96
2022,Parity indices for all education indicators,,Primary education,Ratio,Normal value,Units,2024,,0.97
2023,Parity indices for all education indicators,,Primary education,Ratio,Normal value,Units,2024,,0.96
2024,Parity indices for all education indicators,,Primary education,Ratio,Normal value,Units,2024,,0.96
