Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,Proportion of households using safely managed sanitation services,,,Percent,Normal value,Units,2022,,22.7
2016,Proportion of households using safely managed sanitation services,,,Percent,Normal value,Units,2022,,28.3
2022,Proportion of households using safely managed sanitation services,,,Percent,Normal value,Units,2022,,38.2
2014,Proportion of households using safely managed sanitation services,,Rural,Percent,Normal value,Units,2022,,25.5
2016,Proportion of households using safely managed sanitation services,,Rural,Percent,Normal value,Units,2022,,29.5
2022,Proportion of households using safely managed sanitation services,,Rural,Percent,Normal value,Units,2022,,36.6
2014,Proportion of households using safely managed sanitation services,,Urban,Percent,Normal value,Units,2022,,20.6
2016,Proportion of households using safely managed sanitation services,,Urban,Percent,Normal value,Units,2022,,27.9
2022,Proportion of households using safely managed sanitation services,,Urban,Percent,Normal value,Units,2022,,40.7
2014,Proportion of households with basic handwashing facilities on premises,,,Percent,Normal value,Units,2022,,16.6
2016,Proportion of households with basic handwashing facilities on premises,,,Percent,Normal value,Units,2022,,19.4
2022,Proportion of households with basic handwashing facilities on premises,,,Percent,Normal value,Units,2022,,51.0
2014,Proportion of households with basic handwashing facilities on premises,,Rural,Percent,Normal value,Units,2022,,25.7
2016,Proportion of households with basic handwashing facilities on premises,,Rural,Percent,Normal value,Units,2022,,29.7
2022,Proportion of households with basic handwashing facilities on premises,,Rural,Percent,Normal value,Units,2022,,41.3
2014,Proportion of households with basic handwashing facilities on premises,,Urban,Percent,Normal value,Units,2022,,10.1
2016,Proportion of households with basic handwashing facilities on premises,,Urban,Percent,Normal value,Units,2022,,11.4
2022,Proportion of households with basic handwashing facilities on premises,,Urban,Percent,Normal value,Units,2022,,65.3
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],,,Percent,Normal value,Units,2022,,17.4
2022,Proportion of population with basic handwashing facilities on premises [6.2.1],,,Percent,Normal value,Units,2022,,51.3
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],,Rural,Percent,Normal value,Units,2022,,29.5
2022,Proportion of population with basic handwashing facilities on premises [6.2.1],,Rural,Percent,Normal value,Units,2022,,43.0
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],,Urban,Percent,Normal value,Units,2022,,10.6
2022,Proportion of population with basic handwashing facilities on premises [6.2.1],,Urban,Percent,Normal value,Units,2022,,67.6
2014,Proportion of population using safely managed sanitation services [6.2.1],,,Percent,Normal value,Units,2022,,24.7
2016,Proportion of population using safely managed sanitation services [6.2.1],,,Percent,Normal value,Units,2022,,30.5
2022,Proportion of population using safely managed sanitation services [6.2.1],,,Percent,Normal value,Units,2022,,40.9
2014,Proportion of population using safely managed sanitation services [6.2.1],,Rural,Percent,Normal value,Units,2022,,30.5
2016,Proportion of population using safely managed sanitation services [6.2.1],,Rural,Percent,Normal value,Units,2022,,28.4
2022,Proportion of population using safely managed sanitation services [6.2.1],,Rural,Percent,Normal value,Units,2022,,37.7
2014,Proportion of population using safely managed sanitation services [6.2.1],,Urban,Percent,Normal value,Units,2022,,21.6
2016,Proportion of population using safely managed sanitation services [6.2.1],,Urban,Percent,Normal value,Units,2022,,34.9
2022,Proportion of population using safely managed sanitation services [6.2.1],,Urban,Percent,Normal value,Units,2022,,47.3
