Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Global food loss index [12.3.1],,Index,,100.0
2016,Global food loss index [12.3.1],,Index,,87.5
2017,Global food loss index [12.3.1],,Index,,91.6
2018,Global food loss index [12.3.1],,Index,,97.8
2019,Global food loss index [12.3.1],,Index,,99.8
2020,Global food loss index [12.3.1],,Index,,100.5
2021,Global food loss index [12.3.1],,Index,,98.5
2022,Global food loss index [12.3.1],,Index,,100.1
2023,Global food loss index [12.3.1],,Index,,98.0
2024,Global food loss index [12.3.1],,Index,,100.3
