Year,Observation status,Unit multiplier,Observation-level footnotes,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,,,Percent,2022,,28.8
2022,Normal value,Units,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,,,Percent,2022,,28.0
2014,Normal value,Units,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,,Rural,Percent,2022,,27.3
2022,Normal value,Units,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,,Rural,Percent,2022,,25.4
2014,Normal value,Units,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,,Urban,Percent,2022,,29.9
2022,Normal value,Units,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,,Urban,Percent,2022,,25.4
2014,Normal value,Units,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,Female,,Percent,2022,,22.7
2022,Normal value,Units,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,Female,,Percent,2022,,28.1
2014,Normal value,Units,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,Male,,Percent,2022,,33.9
2022,Normal value,Units,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,Male,,Percent,2022,,22.4
