Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2015,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,,4.5
2016,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,,4.4
2017,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,,4.2
2018,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,,4.0
2019,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,,3.3
2020,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,,3.2
2021,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,,2.9
2022,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,,2.8
2015,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,Percent,,0.4
2016,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,Percent,,0.4
2017,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,Percent,,0.4
2018,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,Percent,,0.4
2019,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,Percent,,0.3
2020,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,Percent,,0.3
2021,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,Percent,,0.3
2022,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,Percent,,0.3
2018,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Percent,,78.3
2019,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Percent,,63.0
2020,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Percent,,57.3
2021,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Percent,,56.4
2022,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Percent,,55.9
2024,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Percent,,91.0
2018,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Female,Percent,,87.3
2019,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Female,Percent,,67.0
2020,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Female,Percent,,68.4
2021,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Female,Percent,,66.6
2022,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Female,Percent,,65.1
2018,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Male,Percent,,67.3
2019,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Male,Percent,,57.7
2020,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Male,Percent,,45.6
2021,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Male,Percent,,45.3
2022,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Male,Percent,,40.8
