Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,SOURCE_DETAIL,GeoCode,Value
2015,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,6.0
2016,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,8.6
2017,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,9.9
2018,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,12.0
2019,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,12.0
2020,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,14.1
2021,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,13.1
2022,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,11.1
2023,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,12.3
2015,Return on assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,4.0
2016,Return on assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,3.8
2017,Return on assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,3.2
2018,Return on assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,3.4
2019,Return on assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,3.3
2020,Return on assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,2.1
2021,Return on assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,3.3
2022,Return on assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,3.7
2023,Return on assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,2.9
2015,Regulatory capital to assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,12.4
2016,Regulatory capital to assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,12.8
2017,Regulatory capital to assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,11.5
2018,Regulatory capital to assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,13.2
2019,Regulatory capital to assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,12.8
2020,Regulatory capital to assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,12.3
2021,Regulatory capital to assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,12.1
2022,Regulatory capital to assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,12.0
2023,Regulatory capital to assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,10.4
2015,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,12.4
2016,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,17.8
2017,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,27.1
2018,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,21.2
2019,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,21.3
2020,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,21.6
2021,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,18.4
2022,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,23.9
2023,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,25.7
2015,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,18.2
2016,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,16.9
2017,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,14.7
2018,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,17.2
2019,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,16.8
2020,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,16.7
2021,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,16.7
2022,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,19.0
2023,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,Normal value,Units,2023,CBK,,18.3
2015,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Normal value,Units,2022,CBK,,2.7
2016,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Normal value,Units,2022,CBK,,6.7
2017,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Normal value,Units,2022,CBK,,2.4
2018,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Normal value,Units,2022,CBK,,3.2
2019,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Normal value,Units,2022,CBK,,-0.3
2020,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Normal value,Units,2022,CBK,,-0.0
2021,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Normal value,Units,2022,CBK,,-1.0
2022,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Normal value,Units,2022,CBK,,-1.6
