Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,SH_STA_TRAF,,PER_100000_POP,A,0,2023,,10.953488
2015,SH_STA_TRAF,,PER_100000_POP,A,0,2023,,12.4
2016,SH_STA_TRAF,,PER_100000_POP,A,0,2023,,10.6
2017,SH_STA_TRAF,,PER_100000_POP,A,0,2023,,6.4
2018,SH_STA_TRAF,,PER_100000_POP,A,0,2023,,6.8
2019,SH_STA_TRAF,,PER_100000_POP,A,0,2023,,7.5
2020,SH_STA_TRAF,,PER_100000_POP,A,0,2023,,8.2
2021,SH_STA_TRAF,,PER_100000_POP,A,0,2023,,9.2
2022,SH_STA_TRAF,,PER_100000_POP,A,0,2023,,9.3
2023,SH_STA_TRAF,,PER_100000_POP,A,0,2023,,8.4
