Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2014,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,,26957.1
2015,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,,28117.5
2016,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,,29596.7
2017,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,,25904.0
2018,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,,27600.1
2019,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,,19701.8
2020,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,,19819.7
2021,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,,31320.4
2022,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,,31031.2
2023,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,,23083.5
2024,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,,22037.2
